licenseNumber,licenseType,businessName,city,county,zip,phone,endorsementText,origRegisDate,status,gmbName,gmbAddress,gmbPhone,gmbWebsite,gmbRating,gmbReviews,gmbCategory,gmbMapsUrl,gmbExtra,processedAt,_outFile
259623,CSC2,OCHOCO FIRE PROTECTION INC,PORTLAND,Washington,97229,5037042552,Commercial Specialty Contractor Level 2,01/29/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Portland Fire Extinguisher Company(0.33),2026-09-06T20:36:48.139Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259625,RGC,SOLID ROCK CAPITAL GROUP LLC,CORVALLIS,Benton,97330,4083343000,Residential General Contractor,02/04/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Benton(0.00),2026-09-06T20:37:08.538Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259626,RGC,MCCLURES GENERAL CONTRACTING LLC,PORTLAND,Clackamas,97267,8082698818,Residential General Contractor,01/02/2026,New Registration - No GMB,,,,,,,,,"low_confidence_match_rejected:McClure and Sons, Inc.(0.00)",2026-09-06T20:37:49.044Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259629,RGC,JED WILLIAM WHITLEY,FLORENCE,Lane,97439,5419919036,Residential General Contractor,02/02/2026,New Registration - No GMB,,,,,,,,,,2026-09-06T20:38:09.466Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259630,RGC,SUMMIT BUILDING CO LLC,BEND,Deschutes,97703,5414083605,Residential General Contractor,01/05/2026,GMB Found - Website Available,Summit Park Apartments,"2017 NE Full Moon Dr, Bend, OR 97701, United States",+1 541-382-2705,http://www.summitparkbend.com/,,56,Apartment complex,https://www.google.com/maps/place/Summit+Park+Apartments/data=!4m7!3m6!1s0x54b8cf5563c04ac9:0x55405bdcf3569a09!8m2!3d44.0699868!4d-121.2752558!16s%2Fg%2F11tf313ht!19sChIJyUrAY1XPuFQRCZpW89xbQFU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1,place_id:ChIJyUrAY1XPuFQRCZpW89xbQFU,2026-09-06T20:38:50.009Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259634,RGC,THE OSPREYS CATCH LLC,GRANTS PASS,Josephine,97526,6026222779,Residential General Contractor,01/05/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Troy's Guide Services(0.00),2026-09-06T20:39:30.698Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259635,RGC,BULLETPROOF HOME REPAIR LLC,KLAMATH FALLS,Klamath,97601,5418879654,Residential General Contractor,01/27/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Vertex Builders LLC(0.00),2026-09-06T20:40:31.431Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259637,RGC,HJ CONSTRUCTION NW LLC,HILLSBORO,Washington,97123,5038166118,Residential General Contractor,01/05/2026,GMB Found - No Website,HJ Construction NW,,+1 503-816-6118,,,1,General contractor,"https://www.google.com/maps/place/HJ+Construction+NW/@45.4669055,-122.741926,10z/data=!3m1!4b1!4m6!3m5!1s0x43f7b58307e46e73:0xba2f66355cea1348!8m2!3d45.4669055!4d-122.741926!16s%2Fg%2F11y_pz5hmb?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJc27kB4O190MRSBPqXDVmL7o,2026-09-06T20:41:12.097Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259638,RGC,GRIP CITY HANDYMAN LLC,PORTLAND,Multnomah,97211,5039622625,Residential General Contractor,01/07/2026,GMB Found - Website Available,Grip City Handyman,,+1 971-666-2625,https://gripcityhandyman.com/,,5,Handyman/Handywoman/Handyperson,"https://www.google.com/maps/place/Grip+City+Handyman/@45.4671061,-122.6896951,10z/data=!3m1!4b1!4m6!3m5!1s0x2b7f041431113aab:0xd62ac18b900f28ad!8m2!3d45.4671061!4d-122.6896951!16s%2Fg%2F11yq8bqv_q?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJqzoRMRQEfysRrSgPkIvBKtY,2026-09-06T20:41:52.617Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259639,RGC,MEDFORD CLOSET AND GARAGE STORAGE SOLUTIONS LLC,MEDFORD,Jackson,97504,5412080277,Residential General Contractor,01/05/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Closet Solutions & Organizers(0.33),2026-09-06T20:42:33.270Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259641,RGC,DR HOUSE GENERAL CONSTRUCTION LLC,MADRAS,Jefferson,97741,5417773288,Residential General Contractor,01/05/2026,GMB Found - No Website,Dr. House General Construction,"126 NW B St Unit 30, Madras, OR 97741, United States",+1 541-777-3288,,,2,Building firm,"https://www.google.com/maps/place/Dr.+House+General+Construction/@44.6360935,-121.1316512,17z/data=!3m1!4b1!4m6!3m5!1s0x44c21cf3288903f3:0x1c87bdc4ba7ec7ca!8m2!3d44.6360935!4d-121.1316512!16s%2Fg%2F11yvpcmm28?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJ8wOJKPMcwkQRysd-usS9hxw,2026-09-06T20:43:13.828Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259643,RGC,TG HEATING AND COOLING LLC,TERREBONNE,Deschutes,97760,5039568200,Residential General Contractor,01/21/2026,GMB Found - Website Available,Tg Heating And Cooling,,+1 503-956-8200,https://tgsolutionshvac.com/,,0,HVAC contractor,https://www.google.com/maps/place/Tg+Heating+And+Cooling/data=!4m7!3m6!1s0xc1c4a034fd0cd81:0x2fc85f1001c0d5e9!8m2!3d44.1455904!4d-120.5834015!16s%2Fg%2F11ntzmpqqk!19sChIJgc3QTwNKHAwR6dXAARBfyC8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1,place_id:ChIJgc3QTwNKHAwR6dXAARBfyC8,2026-09-06T20:43:34.315Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259644,CGC2,TUSTAN LLC,GRESHAM,Multnomah,97080,9714045928,Commercial General Contractor Level 2,05/14/2026,GMB Found - Website Available,Tustan Locksmith,"21755 SE Stark St, Gresham, OR 97030, United States",+1 971-404-5928,https://thetustan.com/,,284,Locksmith,"https://www.google.com/maps/place/Tustan+Locksmith/@45.5193136,-122.4382862,17z/data=!3m1!4b1!4m6!3m5!1s0x549598791bc26e7b:0x5c0e9fdd32355423!8m2!3d45.5193136!4d-122.4382862!16s%2Fg%2F1hm4zqtks?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJe27CG3mYlVQRI1Q1Mt2fDlw,2026-09-06T20:44:14.941Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259644,RGC,TUSTAN LLC,GRESHAM,Multnomah,97080,9714045928,Residential General Contractor,05/14/2026,GMB Found - Website Available,Tustan Locksmith,"21755 SE Stark St, Gresham, OR 97030, United States",+1 971-404-5928,https://thetustan.com/,,284,Locksmith,"https://www.google.com/maps/place/Tustan+Locksmith/@45.5193136,-122.4382862,17z/data=!3m1!4b1!4m6!3m5!1s0x549598791bc26e7b:0x5c0e9fdd32355423!8m2!3d45.5193136!4d-122.4382862!16s%2Fg%2F1hm4zqtks?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJe27CG3mYlVQRI1Q1Mt2fDlw,2026-09-06T20:44:35.413Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259645,LBPR,ONE PEAK CONSTRUCTION LLC,PORTLAND,Multnomah,97202,5034327263,Lead Based Paint Renovation Contractor,02/04/2026,GMB Found - Website Available,One Peak Construction llc,"1612 SE Pardee St, Portland, OR 97202, United States",+1 503-432-7263,https://onepeakconstruction.com/,,39,Window installation service,"https://www.google.com/maps/place/One+Peak+Construction+llc/@45.4894342,-122.6491523,17z/data=!3m1!4b1!4m6!3m5!1s0x54950b7c82275f35:0xa29b40c0b0b75d9a!8m2!3d45.4894342!4d-122.6491523!16s%2Fg%2F11fsmvhf77?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJNV8ngnwLlVQRml23sMBAm6I,2026-09-06T20:45:15.994Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259645,RGC,ONE PEAK CONSTRUCTION LLC,PORTLAND,Multnomah,97202,5034327263,Residential General Contractor,01/06/2026,GMB Found - Website Available,One Peak Construction llc,"1612 SE Pardee St, Portland, OR 97202, United States",+1 503-432-7263,https://onepeakconstruction.com/,,39,Window installation service,"https://www.google.com/maps/place/One+Peak+Construction+llc/@45.4894342,-122.6491523,17z/data=!3m1!4b1!4m6!3m5!1s0x54950b7c82275f35:0xa29b40c0b0b75d9a!8m2!3d45.4894342!4d-122.6491523!16s%2Fg%2F11fsmvhf77?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJNV8ngnwLlVQRml23sMBAm6I,2026-09-06T20:45:56.511Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259646,LBPR,HIPERFORM REMODELING LLC,SALEM,Marion,97301,6789933862,Lead Based Paint Renovation Contractor,01/26/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Salem(0.00),2026-09-06T20:46:16.937Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259646,RGC,HIPERFORM REMODELING LLC,SALEM,Marion,97301,6789933862,Residential General Contractor,01/08/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Salem(0.00),2026-09-06T20:46:37.382Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259647,RGC,PHENIX ROOFING AND REPAIRS LLC,LAGRANDE,Union,97850,5417866916,Residential General Contractor,03/11/2026,GMB Found - Website Available,"Phoenix Roofing and Exteriors, LLC.",,+1 616-863-2650,http://thephoenixroof.com/,,26,Roofing contractor,"https://www.google.com/maps/place/Phoenix+Roofing+and+Exteriors,+LLC./@45.0008644,-86.2705984,6z/data=!3m1!4b1!4m6!3m5!1s0x6c7f410c36036e91:0x493ed2093ab0280d!8m2!3d45.0008644!4d-86.2705984!16s%2Fg%2F11xd_pxr3r?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJkW4DNgxBf2wRDSiwOgnSPkk,2026-09-06T20:47:17.906Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259649,RGC,PRG CONSTRUCTION LLC,GRESHAM,Multnomah,97080,5037031936,Residential General Contractor,01/06/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Gresham(0.00),2026-09-06T20:47:38.324Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259650,RGC,SCHMIDT TRUCKING & EXCAVATION LLC,SPRINGFIELD,Lane,97478,5416038526,Residential General Contractor,01/20/2026,GMB Found - No Website,Schmidt Trucking,"10216 Manhattan Dr, Brewerton, NY 13029, United States",+1 315-676-7776,,,3,Trucking company,"https://www.google.com/maps/place/Schmidt+Trucking/@43.2653621,-76.1942745,17z/data=!3m1!4b1!4m6!3m5!1s0x89d9c20e40f44a93:0xce2a04f1640c8a2e!8m2!3d43.2653621!4d-76.1942745!16s%2Fg%2F1tx4qbnt?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJk0r0QA7C2YkRLooMZPEEKs4,2026-09-06T20:47:58.752Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259651,RGC,SWINDELLS HOME SOLUTIONS LLC,BEND,Deschutes,97701,8055355438,Residential General Contractor,01/14/2026,GMB Found - Website Available,Swindells Home Solutions,,+1 541-550-2134,https://www.swindellshomesolutions.com/,,1,Handyman/Handywoman/Handyperson,"https://www.google.com/maps/place/Swindells+Home+Solutions/@44.061471,-121.312961,12z/data=!3m1!4b1!4m6!3m5!1s0x41974039af375635:0xdf3ad217dd4ca375!8m2!3d44.061471!4d-121.312961!16s%2Fg%2F11n51m3bb9?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJNVY3rzlAl0ERdaNM3RfSOt8,2026-09-06T20:48:39.288Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259654,RGC,BOZ ELECTRIC LLC,OREGON CITY,Clackamas,97045,9715702967,Residential General Contractor,01/02/2026,GMB Found - Website Available,Boz Electric,"19446 Woodlands Terrace, Oregon City, OR 97045, United States",+1 503-896-1522,https://bozelectricllc.com/,,43,Electrician,"https://www.google.com/maps/place/Boz+Electric/@45.3250417,-122.5985464,17z/data=!3m1!4b1!4m6!3m5!1s0x6bb1f023330a6d61:0xbb5728b834f01bf6!8m2!3d45.3250417!4d-122.5985464!16s%2Fg%2F11mrm3fhwd?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJYW0KMyPwsWsR9hvwNLgoV7s,2026-09-06T20:49:19.832Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259655,RGC,GRIFF CONSTRUCTION LLC,PORTLAND,Multnomah,97202,5038061756,Residential General Contractor,01/12/2026,GMB Found - Website Available,Griff Construction LLC,,+1 503-806-1756,https://www.griff-construction.com/,,2,Window installation service,"https://www.google.com/maps/place/Griff+Construction+LLC/@45.6996305,-123.1620795,9z/data=!3m1!4b1!4m6!3m5!1s0x2d4364b91234aa37:0xa37666df3181dcae!8m2!3d45.6996304!4d-123.1620795!16s%2Fg%2F11z5xgy8cr?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJN6o0ErlkQy0RrtyBMd9mdqM,2026-09-06T20:50:00.379Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259658,RLC,DEREK SHAUN STEPHENS,EUGENE,Lane,97405,5415213003,Residential Limited Contractor,01/08/2026,New Registration - No GMB,,,,,,,,,,2026-09-06T20:50:40.958Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259659,RGC,PNW LEGACY EXCAVATION LLC,MOLALLA,Clackamas,97038,5039573223,Residential General Contractor,01/13/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Pacific Northwest Construction(0.00),2026-09-06T20:51:01.396Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259660,RGC,ANDREW DAVIS CONSTRUCTION LLC,SISTERS,Deschutes,97759,5417978170,Residential General Contractor,03/03/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:A.B. Dyer Contracting LLC(0.00),2026-09-06T20:51:41.996Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259661,CSC1,HP MECHANICAL LLC,CANBY,Clackamas,97013,5035926520,Commercial Specialty Contractor Level 1,01/08/2026,GMB Found - Website Available,"HP Mechanical, LLC",,+1 503-592-6520,https://hpmechanicalpdx.com/,,2,Repair service,"https://www.google.com/maps/place/HP+Mechanical,+LLC/@45.1012275,-123.1966225,8z/data=!3m1!4b1!4m6!3m5!1s0x83f0922552fef93d:0x4e6c43556ee09dd0!8m2!3d45.1012275!4d-123.1966225!16s%2Fg%2F11mlbf_10g?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJPfn-UiWS8IMR0J3gblVDbE4,2026-09-06T20:52:22.620Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259663,RGC,SHELDON JAMES SHALE,GOLD HILL,Jackson,97525,5418416666,Residential General Contractor,01/06/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Gold Hill(0.00),2026-09-06T20:52:43.185Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259665,RGC,KEVIN STACY HATFIELD,OREGON CITY,Clackamas,97045,5037582953,Residential General Contractor,01/15/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Oregon City(0.00),2026-09-06T20:53:03.706Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259666,RSC,REVEAL GARAGE DOORS LLC,KEIZER,Marion,97303,5038840345,Residential Specialty Contractor,01/12/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Revel Garage Solutions(0.33),2026-09-06T20:53:44.364Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259668,RGC,WYNNE EXCAVATION LLC,KLAMATH FALLS,Klamath,97603,5418104147,Residential General Contractor,01/06/2026,GMB Found - Website Available,Wynne Excavation LLC,,+1 541-810-4147,https://wynneexcavation.com/,,5,Septic system service,"https://www.google.com/maps/place/Wynne+Excavation+LLC/@42.3629904,-121.109055,9z/data=!3m1!4b1!4m6!3m5!1s0x6b22e1ba31df1d4d:0xbaf2983796a0c110!8m2!3d42.3629904!4d-121.109055!16s%2Fg%2F11z51q4lz9?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJTR3fMbrhImsREMGgljeY8ro,2026-09-06T20:54:25.000Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259669,RGC,MICHAEL SANDERS CONSTRUCTION LLC,SALEM,Marion,97305,5037799534,Residential General Contractor,01/20/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:Mid Valley Construction LLC(0.33),2026-09-06T20:55:05.744Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259670,RGC,KINDRED BUILD LLC,PORTLAND,Multnomah,97215,5033088034,Residential General Contractor,01/08/2026,GMB Found - No Website,Cornell Design and Build LLC,,+1 503-935-3202,,,7,General contractor,"https://www.google.com/maps/place/Cornell+Design+and+Build+LLC/@45.5427145,-122.6543856,11z/data=!3m1!4b1!4m6!3m5!1s0x94049509834025d:0xaad18b0d890120d9!8m2!3d45.5427145!4d-122.6543856!16s%2Fg%2F11x7qqyv9k?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJXQI0mFBJQAkR2SABiQ2L0ao,2026-09-06T20:55:46.445Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259671,RGC,SOUTHERN OREGON HOME REVIVAL LLC,PHOENIX,Jackson,97535,4582298234,Residential General Contractor,01/07/2026,GMB Found - No Website,Southern Oregon Home Revival LLC,,+1 458-229-8234,,,8,Landscaper,"https://www.google.com/maps/place/Southern+Oregon+Home+Revival+LLC/@42.9690529,-122.031454,8z/data=!3m1!4b1!4m6!3m5!1s0x6661ed0ba58fc7b:0xceaa01d909ec6e18!8m2!3d42.969053!4d-122.031454!16s%2Fg%2F11x2_52rz2?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJe_xYutAeZgYRGG7sCdkBqs4,2026-09-06T20:56:27.152Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259672,RGC,WHITE WING CONSTRUCTION LLC,GRESHAM,Multnomah,97080,9715334576,Residential General Contractor,01/13/2026,GMB Found - Website Available,White Wing Construction Services,"3338 Fitzgerald Dr, Montgomery, TX 77356, United States",+1 936-448-7729,https://whitewingconst.com/,,16,General contractor,"https://www.google.com/maps/place/White+Wing+Construction+Services/@30.3919271,-95.6054911,17z/data=!3m1!4b1!4m6!3m5!1s0x864739e78c242fc5:0xd184c011da40ffaa!8m2!3d30.3919271!4d-95.6054911!16s%2Fg%2F11c5mrf1v8?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJxS8kjOc5R4YRqv9A2hHAhNE,2026-09-06T20:56:47.679Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259673,RGC,STERLING AXIS CONSTRUCTION LLC,BEAVERTON,Washington,97006,9714923832,Residential General Contractor,01/29/2026,New Registration - No GMB,,,,,,,,,low_confidence_match_rejected:S. Alexander Construction LLC(0.33),2026-09-06T20:57:28.384Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
259674,RGC,ZR CONSTRUCTION INC,SALEM,Marion,97305,9715993372,Residential General Contractor,01/08/2026,GMB Found - Website Available,ZR General Construction,,+1 317-724-8301,https://zrgeneralconstruction.com/,,1,General contractor,"https://www.google.com/maps/place/ZR+General+Construction/@39.8250329,-86.1565806,10z/data=!3m1!4b1!4m6!3m5!1s0x4098596692377eb9:0x980adbd59ded3139!8m2!3d39.8250329!4d-86.1565806!16s%2Fg%2F11nb503wj4?hl=en&entry=ttu&g_ep=EgoyMDI2MDkwMi4wIKXMDSoASAFQAw%3D%3D",place_id:ChIJuX43kmZZmEAROTHtndXbCpg,2026-09-06T20:58:09.140Z,/gmapsdata/ccb-results/ccb-batch-01-of-07-results.jsonl
